"Id","Name","SetValue","CompetitionId"
2,"A real number","(-Infinity, Infinity)",""
3,"Boolean","{0, 1}","3136.0"
4,"Non-negative","[0, Infinity)",""
5,"Expected score for White","[0, 1]","2479.0"
6,"Total number of days spent in the hospital","[0, 15]","2496.0"
7,"Galaxy Ellipticity","[-1, 1]","2487.0"
9,"Any value","null",""
11,"Predicted Probability","[0,1]",""
13,"Predicted Gestures","^([1-9][0-9]?\s){0,49}([1-9][0-9]?)?$",""
14,"Security Price","(0, 8000)","2589.0"
16,"Non-negative Integer Values","{ 0, 1, 2, ..., 1000000}",""
22,"Textual Number","^[0-9]+$",""
